id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
13365,3774,1080° Avalanche,NULL,2003-11-28 00:00:00.000,3,NULL,70.0000,1,69.4722,7
61700,12374,1893: A World's Fair Mystery,NULL,2003-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
42818,159403,1942 Wing Baron,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
188771,223001,3D Chess,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5047,204578,3D Live Pool,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180893,44820,5 Star Racing,NULL,2003-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156646,132868,Acquaria,"From a desolate environment comes an exuberant story. ACQUÁRIA shows a distant future in which the ""Blue Planet"" can no longer be called such. The Earth is practically exhausted after constant aggression against nature.
All that is left are ruined cities and a few groups of people surviving in a devastating scenario. After years of exploitation and aggression against nature, water on planet Earth has come to an end.

In this arid environment, Sarah (Sandy) and Kim (Junior) live the saga and adventure of surviving in ACQUÁRIA, a place full of dangers and mysteries. With their friends Gaspar and Guili, they live challenges and emotions in search of the rarest and most precious commodity on Earth: water.",2003-12-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116530,45979,Activision Anthology: Remix Edition,NULL,2003-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94534,145568,Age of Empires: Pocket PC Edition,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74461,55974,AH-64 Apache Air Assault,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58390,23751,Airborne Assault: Highway to Reich,NULL,2003-12-03 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
65897,146191,Aki: Mahjong Solitaire,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94309,147515,All Star Action,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36263,99923,Alpha Ball,NULL,2003-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141063,6304,American Idol,NULL,2003-11-07 00:00:00.000,NULL,NULL,80.0000,1,NULL,NULL
97674,15820,America's Army 2,NULL,2003-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
